entry_time_app,entry_time_tpl,exit_time_app,exit_time_tpl,entry_name,direction,entry_price,exit_price,quantity,pnl_currency
2024-09-05 11:06:00,2024-09-05 09:06:00,2024-09-05 11:12:00,2024-09-05 09:12:00,NYO_L_TP2,LONG,20513.25,20474.50,1,-79.40
2024-09-06 11:31:00,2024-09-06 09:31:00,2024-09-06 12:01:00,2024-09-06 10:01:00,NYO_S_TP1,SHORT,20070.25,20034.50,1,69.60
2024-09-06 11:31:00,2024-09-06 09:31:00,2024-09-06 12:01:00,2024-09-06 10:01:00,NYO_S_TP2,SHORT,20070.25,20034.50,1,69.60
2024-09-09 11:06:00,2024-09-09 09:06:00,2024-09-09 11:19:00,2024-09-09 09:19:00,NYO_L_TP1,LONG,20103.75,20089.00,1,-31.40
2024-09-09 11:06:00,2024-09-09 09:06:00,2024-09-09 11:19:00,2024-09-09 09:19:00,NYO_L_TP2,LONG,20103.75,20089.00,1,-31.40
2024-09-11 11:21:00,2024-09-11 09:21:00,2024-09-11 12:07:00,2024-09-11 10:07:00,NYO_S_TP1,SHORT,20095.00,20080.00,1,28.10
2024-09-11 11:21:00,2024-09-11 09:21:00,2024-09-11 12:07:00,2024-09-11 10:07:00,NYO_S_TP2,SHORT,20095.00,20080.00,1,28.10
2024-09-13 11:51:00,2024-09-13 09:51:00,2024-09-13 13:17:00,2024-09-13 11:17:00,NYO_L_TP1,LONG,20955.50,20918.75,1,-75.40
2024-09-13 11:51:00,2024-09-13 09:51:00,2024-09-13 13:17:00,2024-09-13 11:17:00,NYO_L_TP2,LONG,20955.50,20918.75,1,-75.40
2024-09-16 11:41:00,2024-09-16 09:41:00,2024-09-16 12:25:00,2024-09-16 10:25:00,NYO_S_TP1,SHORT,20764.75,20824.00,1,-120.40
2024-09-16 11:41:00,2024-09-16 09:41:00,2024-09-16 12:25:00,2024-09-16 10:25:00,NYO_S_TP2,SHORT,20764.75,20824.00,1,-120.40
2024-09-18 11:31:00,2024-09-18 09:31:00,2024-09-18 11:44:00,2024-09-18 09:44:00,NYO_S_TP1,SHORT,20893.50,20909.25,1,-33.40
2024-09-18 11:31:00,2024-09-18 09:31:00,2024-09-18 11:44:00,2024-09-18 09:44:00,NYO_S_TP2,SHORT,20893.50,20909.25,1,-33.40
2024-09-19 11:26:00,2024-09-19 09:26:00,2024-09-19 11:46:00,2024-09-19 09:46:00,NYO_L_TP1,LONG,21286.50,21291.00,1,7.10
2024-09-19 11:26:00,2024-09-19 09:26:00,2024-09-19 11:46:00,2024-09-19 09:46:00,NYO_L_TP2,LONG,21286.50,21291.00,1,7.10
2024-09-20 12:01:00,2024-09-20 10:01:00,2024-09-20 12:27:00,2024-09-20 10:27:00,NYO_S_TP1,SHORT,21135.50,21114.50,1,40.10
2024-09-20 12:01:00,2024-09-20 10:01:00,2024-09-20 12:27:00,2024-09-20 10:27:00,NYO_S_TP2,SHORT,21135.50,21114.50,1,40.10
2024-09-24 11:21:00,2024-09-24 09:21:00,2024-09-24 11:47:00,2024-09-24 09:47:00,NYO_S_TP1,SHORT,21203.75,21214.75,1,-23.90
2024-09-24 11:21:00,2024-09-24 09:21:00,2024-09-24 11:47:00,2024-09-24 09:47:00,NYO_S_TP2,SHORT,21203.75,21214.75,1,-23.90
2024-09-25 11:06:00,2024-09-25 09:06:00,2024-09-25 11:31:00,2024-09-25 09:31:00,NYO_L_TP1,LONG,21425.25,21412.75,1,-26.90
2024-09-25 11:06:00,2024-09-25 09:06:00,2024-09-25 11:31:00,2024-09-25 09:31:00,NYO_L_TP2,LONG,21425.25,21412.75,1,-26.90
2024-09-26 11:11:00,2024-09-26 09:11:00,2024-09-26 11:34:00,2024-09-26 09:34:00,NYO_S_TP1,SHORT,21597.50,21505.50,1,182.10
